300.00,22.57,24.07,18.30,20.34,17.00,86.26
309.30,22.63,24.24,18.41,20.41,17.00,93.18
318.60,22.64,24.33,18.46,20.42,17.00,88.38
327.90,22.70,24.50,18.57,20.46,17.00,84.96
337.20,23.81,25.79,19.73,21.73,17.00,83.86
346.50,23.80,25.89,19.77,21.69,17.00,88.41
355.80,23.84,26.03,19.85,21.71,17.00,92.01
365.10,22.70,24.96,18.80,20.36,17.00,87.80
374.40,22.63,24.99,18.79,20.24,17.00,89.11
383.70,22.57,25.06,18.80,20.15,17.00,91.22
393.00,22.49,25.08,18.78,20.01,17.00,92.51
402.30,22.41,25.15,18.78,19.90,17.00,91.21
411.60,22.29,25.15,18.73,19.73,17.00,92.11
420.90,22.14,25.15,18.68,19.55,17.00,91.20
430.20,22.03,25.17,18.65,19.38,17.00,92.13
439.50,21.84,25.15,18.57,19.15,17.00,91.18
448.80,21.66,25.13,18.49,18.92,17.00,92.62
458.10,21.43,25.09,18.40,18.65,17.00,91.17
467.40,21.19,25.04,18.29,18.35,17.00,92.63
476.70,20.93,25.00,18.18,18.09,17.00,91.88
486.00,20.68,24.99,18.08,17.82,17.00,91.88
495.30,20.47,25.01,18.02,17.60,17.00,91.89
504.60,20.34,25.03,17.99,17.45,17.00,91.90
513.90,20.17,25.05,17.95,17.29,17.00,92.39
523.20,20.03,25.09,17.92,17.13,17.00,92.37
532.50,19.93,25.17,17.92,17.04,17.00,90.82
541.80,19.86,25.22,17.93,16.95,17.00,92.42
551.10,19.77,25.30,17.94,16.86,17.00,92.57
560.40,19.69,25.36,17.94,16.77,17.00,92.47
569.70,19.60,25.42,17.95,16.67,17.00,92.55
579.00,19.50,25.48,17.94,16.57,17.00,92.52
588.30,19.42,25.53,17.95,16.48,17.00,92.53
597.60,19.33,25.60,17.95,16.39,17.00,92.57
606.90,19.24,25.64,17.95,16.29,17.00,93.02
616.20,19.13,25.71,17.94,16.17,17.00,93.09
625.50,19.02,25.75,17.93,16.04,17.00,91.81
634.80,18.89,25.80,17.91,15.91,17.00,93.14
644.10,18.79,25.83,17.90,15.80,17.00,91.36
653.40,18.68,25.90,17.90,15.71,17.00,93.19
662.70,18.61,25.94,17.90,15.63,17.00,89.14
672.00,18.51,26.01,17.90,15.54,17.00,91.06
681.30,18.42,26.06,17.90,15.44,17.00,89.23
690.60,18.32,26.13,17.90,15.35,17.00,90.09
699.90,18.25,26.18,17.90,15.27,17.00,89.31
709.20,18.17,26.25,17.91,15.21,17.00,89.11
718.50,18.11,26.31,17.93,15.14,17.00,89.37
727.80,18.03,26.39,17.94,15.06,17.00,89.11
737.10,17.94,26.45,17.94,14.95,17.00,89.90
746.40,17.82,26.51,17.93,14.82,17.00,89.11
755.70,17.70,26.54,17.91,14.70,17.00,89.94
765.00,17.60,26.60,17.91,14.61,17.00,89.11
